name,url,rarity
Bacon and Broccoli Omelette,https://items.jellyneo.net/assets/imgs/items/7172.gif,109
Bacon Omelette,https://items.jellyneo.net/assets/imgs/items/2306.gif,112
BBQ Sauce Omelette,https://items.jellyneo.net/assets/imgs/items/586.gif,115
Black Currant Omelette,https://items.jellyneo.net/assets/imgs/items/5650.gif,101
Carrot and Pea Omelette,https://items.jellyneo.net/assets/imgs/items/493.gif,106
Cheese and Onion Omelette,https://items.jellyneo.net/assets/imgs/items/262.gif,118
Cheese Omelette,https://items.jellyneo.net/assets/imgs/items/11691.gif,119
Chocolate Omelette,https://items.jellyneo.net/assets/imgs/items/5649.gif,101
Chokato Omelette,https://items.jellyneo.net/assets/imgs/items/5623.gif,101
Clay Omelette,https://items.jellyneo.net/assets/imgs/items/14723.gif,101
Fresh Fruit Surprise Omelette,https://items.jellyneo.net/assets/imgs/items/5640.gif,101
Green Pepper Omelette,https://items.jellyneo.net/assets/imgs/items/584.gif,107
Ham and Cheese Omelette,https://items.jellyneo.net/assets/imgs/items/5625.gif,101
Honey Blossom Omelette,https://items.jellyneo.net/assets/imgs/items/5638.gif,101
Hot Tyrannian Pepper Omelette,https://items.jellyneo.net/assets/imgs/items/5630.gif,101
Juppie Omelette,https://items.jellyneo.net/assets/imgs/items/9456.gif,101
Little Fishy Omelette,https://items.jellyneo.net/assets/imgs/items/5622.gif,101
Marshmallow Omelette,https://items.jellyneo.net/assets/imgs/items/4464.gif,101
Meat Feast Omelette,https://items.jellyneo.net/assets/imgs/items/5641.gif,101
Mushroom Omelette,https://items.jellyneo.net/assets/imgs/items/4467.gif,101
Pizza Omelette,https://items.jellyneo.net/assets/imgs/items/63329.gif,101
Plain Omelette,https://items.jellyneo.net/assets/imgs/items/7163.gif,101
Rice Omelette,https://items.jellyneo.net/assets/imgs/items/63328.gif,101
Rotten Omelette,https://items.jellyneo.net/assets/imgs/items/7175.gif,101
Sausage and Pepperoni Omelette,https://items.jellyneo.net/assets/imgs/items/583.gif,102
Sausage Omelette,https://items.jellyneo.net/assets/imgs/items/492.gif,104
Spicy Red Pepper Omelette,https://items.jellyneo.net/assets/imgs/items/5645.gif,101
Spinach Feta Omelette,https://items.jellyneo.net/assets/imgs/items/4470.gif,101
Strawberry Omelette,https://items.jellyneo.net/assets/imgs/items/5648.gif,101
Tangy Tigersquash Omelette,https://items.jellyneo.net/assets/imgs/items/5562.gif,101
Tomato and Pepper Omelette,https://items.jellyneo.net/assets/imgs/items/14264.gif,124
Tomato Omelette,https://items.jellyneo.net/assets/imgs/items/5582.gif,122
Twirly Fruit Omelette,https://items.jellyneo.net/assets/imgs/items/4461.gif,101
Ugga Melon Omelette,https://items.jellyneo.net/assets/imgs/items/5632.gif,101
Veggie Delight Omelette,https://items.jellyneo.net/assets/imgs/items/9453.gif,101
